@relation train
@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute type {1,2,3,4,5,6,7}
@data
138.72,126.81,115.33,3
158.56,111.29,74.352,3
157.62,106.92,70.179,3
78.452,49.147,35.809,3
148.46,100.78,69.211,3
116.99,101.41,86.837,3
138.72,126.81,115.33,3
172.89,140.91,130.31,3
138.72,126.81,115.33,3
151.57,148.86,163.23,4
138.72,126.81,115.33,4
204.35,199.39,200.21,4
174.7,166.53,173.86,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
206.5,195.38,190.9,4
230.38,226.75,234.76,4
233.58,223.16,218.92,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
138.72,126.81,115.33,4
213.54,212.02,213.01,4
221.87,221.03,220.58,4
216.09,212.63,211.07,4
172.83,174.01,180.3,4
248.52,244.01,232.32,5
172.99,164.78,153.24,5
196.31,191.83,183.09,5
138.72,126.81,115.33,5
169.57,161.32,152.87,5
168.35,150.13,143.64,5
201.91,151.91,116.97,5
209.11,207.81,211.29,5
125.37,115.02,110.05,5
133,123.35,96.776,5
160.32,139.35,96.955,5
198.21,182.05,126.27,5
81.138,66.448,55.201,5
37.634,33.873,36.085,5
113.59,105.82,96.706,5
138.72,126.81,115.33,5
109.16,108.69,100.15,5
138.72,126.81,115.33,5
76.313,74.996,71.245,5
138.72,126.81,115.33,5
110.27,113.66,115.5,5
56.161,58.561,65.052,5
75.105,37.388,21.096,5
125.98,121.18,103.07,5
114.34,94.568,70.28,5
144.87,143.06,136.07,5
57.028,54.361,44.833,5
69.856,52.076,41.867,5
78.315,51.365,46.176,5
114.45,91.288,74.903,5
251.57,252.03,252.24,1
252.88,253.88,254.88,1
252.63,253.72,254.93,1
253.03,254.02,254.95,1
250.48,253.13,254.88,1
252.77,253.77,255,1
252.35,253.86,254.76,1
252.62,253.64,254.99,1
250.67,253.06,254.98,1
248.96,252.47,254.99,1
235.06,237.7,239.76,1
248.53,252.09,254.96,1
246.38,250.41,254.66,1
246.63,249.65,254.55,1
243.72,249.12,254.41,1
250.41,252.94,254.99,1
110.6,129.96,97.252,2
108.53,127.36,91.876,2
84.667,92.031,68.833,2
133.27,147.17,102.64,2
