@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
-41.309,12.05,201.72,350.37,97,10,3
18.516,14.573,150.14,357.9,111,15,3
0.83679,48.862,58.552,316.62,163,13,3
24.609,10.24,95.623,285.27,77,9,3
78.281,7.939,125.37,262.24,38,17,3
-52.311,77.541,195.45,252.67,42,12,3
-12.362,17.27,280.86,251.86,63,23,3
44.689,27.159,360.38,247.92,64,50,3
-32.027,29.008,449.21,237.76,42,74,3
-50.892,16.225,536.98,231.85,96,22,3
15.075,98.664,143.67,225.87,46,13,3
80.898,16.825,207.06,210.88,34,24,3
-44.014,11.101,282.69,197.63,35,11,3
86.645,22.336,355,192.72,105,25,3
18.212,16.763,432.96,194.33,165,22,3
61.581,16.151,518.85,187.18,62,24,3
38.763,19.375,563.09,162.46,185,40,3
64.393,26.482,488.52,163.37,52,17,3
53.146,19.134,315.47,165.16,32,24,3
62.503,15.467,316.24,127.54,84,24,3
-25.701,15.56,245.42,178.95,86,16,3
49.885,10.365,182.47,172.63,62,22,3
15.975,13.599,180.32,136.25,73,19,3
-54.238,12.893,189.76,87.978,91,22,3
15.499,13.449,191.38,38.5,68,27,3
-0.92247,16.54,111.13,13.294,282,29,3
86.913,13.347,121.69,61.306,72,13,3
-3.031,11.114,110.08,117.97,92,16,3
86.613,15.372,109.51,191.64,53,16,3
19.059,16.34,142.08,99.846,39,13,3
0.16682,25.375,241.25,93.458,24,48,3
-59.829,15.127,150.7,457.7,23,14,3
-11.165,24.903,141.34,504.19,273,10,3
26.307,15.212,269.85,448.84,222,24,3
4.058,24.057,265.03,514.07,30,39,3
32.817,21.696,397.95,519.23,79,34,3
14.357,23.036,398.67,462.04,116,18,3
48.785,17.26,420.13,417.45,47,13,3
70.537,16.842,130.34,296.55,128,27,3
-32.937,14.856,243.91,286.2,45,3,3
-17.871,20.617,364.14,281.13,105,32,3
-23.9,20.131,62.533,29.133,15,28,4
-33.666,20.243,60.611,124.11,18,21,4
-16.707,15.658,98.153,25.694,72,30,4
-23.244,18.669,87.614,101.23,44,30,4
-32.878,17.362,73.605,91.447,38,32,4
-26.604,15.849,70.636,163.48,33,22,4
-39.968,15.576,82.632,211.58,19,20,4
21.515,20.336,43.544,291.5,90,22,4
94.035,22.209,43.336,238.94,119,10,4
-20.849,16.8,55.897,187.31,39,32,4
10.121,16.129,88.434,334.87,83,11,4
14.768,15.536,105.08,335.73,49,10,4
12.773,11.919,81.484,394.39,31,18,4
50.342,15.778,99.775,406.7,40,11,4
94.693,10.68,81.881,449.88,42,18,4
96.621,13.404,82.434,485.87,136,15,4
13.317,13.016,96.688,529.75,32,17,4
22.085,27.09,70.5,544,66,14,4
-20.229,14.111,77.196,567.09,56,25,4
10.341,57.304,79.216,34.371,97,7,5
59.375,59.278,60.486,236.84,109,32,5
25.446,17.778,157.63,39.362,152,1,5
35.515,13.454,155.12,68.833,317,1,5
19.565,57.657,147.23,132.14,83,17,5
26.723,44.001,146.79,179.6,48,4,5
-57.366,30.802,228.5,44,12,4,5
96.117,23.748,225.88,76.79,224,10,5
29.863,21.29,231.97,103.09,158,3,5
